Name,Ticker,"Sub-Sector","Market Cap","Total Cash Dividend Paid","Net Change in Cash","Change in Working Capital","Free Cash Flow","Operating Cash Flow","Financing Cash Flow","Capital Expenditure","Book Value","Total Liabilities","Total Receivables","Total Assets","Long Term Debt","Investing Cash Flow","Accounts Payable","Additional Paid–in Capital","Share Capital","Cash and Equivalent","Deferred Tax Liabilities (Net)","Deferred Tax Assets (Net)","Long Term Investments","Goodwill & Intangibles","Total Current Assets","Total Current Liabilities","Common Shares Outstanding","Total Debt","Total Deposits – Banks","Total Equity","Total Inventory","Other Liabilities","Reserves & Surplus","Other Assets","Other Current Liabilities","Other Current Assets","Net Property,Plant & Equipment","Loans & Advances","Non Current Liabilties","Non Current Assets","Minority Interest"
Pacheli Industrial Finance Ltd,PIFL,"Home Financing","4.2620011","0","0.01","0.08","0.02","0.02","0","0","4.63","0.22","0","4.85","0","-0.01","0","0.28","3.73","0",,"0.08","0.26","0","0.009999999999999995","0.22","0.373205","0",,"4.63","0","0","0.62","0","0.22","0.009999999999999995","0","4.5","0","4.84",
RSC International Ltd,RSCINT,"Textiles","4.254778","0","0.009999999999999981","0.15999999999999998","0.15","0.15","-0.14","0","0.08999999999999986","0.12000000000000013","0","0.21","0","0","0","0","5.29","0.01",,,"0.15","0","0.060000000000000005","0.13","0.57497","0.12",,"0.08999999999999986","0","-0.00999999999999987","-5.2","0","0.13","0.05","0",,"-0.00999999999999987","0.15",
Gravity (India) Ltd,GRAVITY,"Textiles","4.20391065","0","0.18","-0.12999999999999998","0.18","0.18","0","0","11.220000000000002","3.7899999999999965","7.2","15.009999999999998","1.55","0","2.02","0","9","0.75","0.11",,"0","0","12.559999999999999","2.1100000000000003","0.900195","1.55",,"11.22","3.48","0.01999999999999602","2.22","0.18","0.0900000000000003","1.13","2.2699999999999996",,"1.6799999999999962","2.4499999999999997",
Galada Finance Ltd,GALADAFIN,"Investment Banking & Brokerage","4.2","0","-0.030000000000000027","0.12","0.25","0.26","-0.74","0.01","5.109999999999999","2.7600000000000007","0","7.87","2.69","0.45","0","0","3","0.1",,"0.08","0.26","0","0.71","0.06","0.3","2.69",,"5.109999999999999","0","0.010000000000000675","2.11","0","0.06","0.61","0.19","6.63","2.7000000000000006","7.16",
Padmalaya Telefilms Ltd,PADMALAYAT,"Movies & TV Serials","4.199","0","0","0.26","0","0","0","0","16.739999999999995","3.2500000000000067","0.36","19.990000000000002","0","0","0","75.66","17","0","0.18",,"0","0","19.48","3.0399999999999996","1.7","0.05",,"16.739999999999995","13.13","0.030000000000007104","-75.92","0.51","3.0399999999999996","5.99","0",,"0.2100000000000071","0.51",
Milgrey Finance and Investments Ltd,ZMILGFIN,"Investment Banking & Brokerage","4.1989","0","0","-0.69","-0.77","-0.77","0.68","0","1.5899999999999999","0.1400000000000002","0","1.73","0","0.09","0","0","1.99","0.02",,,"0","0","1.73","0.13999999999999999","0.199","0.12",,"1.5899999999999999","0","2.220446049250313e-16","-1.08","0","0.13999999999999999","1.71","0","0","2.220446049250313e-16","0",
Integrated Technologies Ltd,INTECH,"Electrical Components & Equipments","4.18860276","0","0","0.05","-0.08","-0.08","0.08","0","-0.6100000000000003","5.24","0","4.63","4.86","0","0.12","0","4.83","0.01",,"4.55","0","0","0.07000000000000049","0.37","0.4826555","4.86",,"-0.6100000000000003","0","0.009999999999999787","-5.44","0","0.25","0.0600000000000005","0.01",,"4.87","4.56",
Nidhi Granites Ltd,NIDHGRN,"Investment Banking & Brokerage","4.185","0","-0.77","-0.5799999999999998","-0.31","0.19","2.3","0.5","4.789999999999999","3.4200000000000004","4.37","8.209999999999999","0.04999999999999993","-3.26","1.79","0","0.75","1.47","0.03",,"0.26","0","6.989999999999999","3.35","0.075","0.97",,"4.789999999999999","0.93","-0.009999999999999787","1.68","0.05","1.56","0.22","0.91","0","0.07000000000000015","1.22","0"
Union Quality Plastics Ltd,UNQTYMI,"Plastic Products","4.174947","0","0","3.7399999999999993","-1.72","-1.72","1.53","0","-3.3000000000000047","12.510000000000005","3.81","9.21","0","0.19","6.53","9.76","6.93","0.22",,"0.18000000000000002","0.05","0","7.250000000000001","12.25","0.6926381","5.16",,"-3.3000000000000043","2.93","0.26000000000000556","-19.990000000000002","1.03","5.72","0.29","0.6999999999999993",,"0.26000000000000556","1.9599999999999993",
Prashant India Ltd,PRSNTIN,"Textiles","4.171911355","0","0.14","0.2","0.13","0.13","0","0","-32.41","34.75","0.08","2.3400000000000007","0","0.01","0.08","5.47","4.24","0.16",,,"0","0","0.28","34.76","0.4235443","34.61",,"-32.41","0.03","-0.010000000000000675","-42.12","0.27","34.68","0.01","1.790000000000001",,"-0.010000000000000675","2.060000000000001",
Crimson Metal Engineering Company Ltd,CRIMSON,"Iron & Steel","4.144801752","0","0.040000000000000036","-1.8800000000000001","2.8","2.8","-1.94","0","6.479999999999997","29.840000000000003","8.68","36.32","21.17","-0.82","1.05","0.96","4.43","0.39",,"0.10000000000000009","0","0","10.65","7.389999999999999","0.4428207","27.080000000000002",,"6.4799999999999995","1.22","1.28","1.0899999999999999","1.67","6.339999999999999","0.36","23.900000000000002",,"22.450000000000003","25.67",
Esha Media Research Ltd,ESHAMEDIA,"Advertising","4.1376729","0","0","0","-0.14","-0.14","0.14","0","-7.019999999999997","8.759999999999998","0.08","1.7399999999999998","7.69","0","0.17","0.88","8.3","0.1",,"0.03","0","0","1.5399999999999998","1.08","0.8296005","7.69",,"-7.019999999999998","0","-0.010000000000002007","-16.2","0.1","0.91","1.3599999999999999","0.07",,"7.679999999999998","0.2",
Kapil Cotex Ltd,KAPILCO,"Textiles","4.134","0","-0.010000000000000009","0","0.61","0.61","0","0","3.72","0.6399999999999993","0","4.359999999999999","0","-0.62","0","0.55","1.04","0.01","0.64",,"4.35","0","0.01","0.010000000000000009","0.104","0",,"3.7199999999999998","0","-0.010000000000000675","2.13","0","0.010000000000000009","0","0",,"0.6299999999999993","4.35",
Munoth Communication Ltd,MCLTD,"Technology Hardware","4.1299432","0","0","-0.009999999999999998","-0.24","-0.24","0.24","0","7.219999999999999","2.3200000000000016","0.01","9.540000000000001","0","0","0","5.61","9.95","0.03",,,"4.35","0","0.6300000000000001","2.1799999999999997","0.99513","1.63",,"7.219999999999999","0.55","0.14000000000000198","-8.34","1.68","2.1799999999999997","0.04","2.88",,"0.14000000000000198","8.91","0"
Jolly Merchants Ltd,RGRL,"Agricultural & Farm Machinery","4.1055","0","0.04999999999999996","0.01","0.5","0.5","-0.17","0","4.03","0.019999999999999324","0.5","4.05","0","-0.28","0","0","4.83","0.21","0.01",,"1.16","0","0.71","0.019999999999999997","0.483","0",,"4.03","0","-0.010000000000000675","-0.8","1.16","0.019999999999999997","0","1.02",,"-6.74807432154978e-16","3.34",
United Textiles Ltd,UNITEDTE,"Textiles","4.101","0","0.03999999999999959","2.5","1.08","3.5","1.52","2.42","10.41","9.27","1.61","19.68","3.9899999999999998","-4.98","1.77","0","3","0.09","0.06",,"0","0","4.8100000000000005","5.12","0.3","7.01",,"10.41","1.55","0.09999999999999844","7.41","0.49","3.35","1.56","14.38",,"4.149999999999999","14.870000000000001",
Kanel Industries Ltd,KANELIND,"Packaged Foods & Meats","4.06914924","0","0.20000000000000007","-0.8800000000000008","-0.84","-0.84","1.04","0","-6.919999999999998","12.429999999999998","0","5.51","9.59","0","0","0","18.41","0.21",,,"0","0","2.0100000000000002","2.83","1.841244","10.67",,"-6.919999999999998","0","0.00999999999999801","-25.33","2.9","2.83","1.8","0.5999999999999996",,"9.599999999999998","3.4999999999999996",
Chamak Holdings Ltd,CHAMAK,"Plastic Products","4.05625","0","0.009999999999999898","-0.6299999999999991","1.01","1.16","-0.51","0.15","3.7600000000000016","31.929999999999996","27.93","35.69","0","-0.64","22.61","0","3.25","5.15",,"0.27","1.6","0","33.62","31.94","0.3245","8.620000000000001",,"3.76","0","-0.010000000000005116","0.51","0","9.330000000000002","0.54","0.2",,"-0.010000000000005116","2.0700000000000003",
S R Industries Ltd,SRIND,"Footwear","4.052741","0","-0.52","-1.19","2.62","2.64","-3.25","0.02","-24.28","51.36","5.68","27.08","6.1300000000000034","0.09","6.74","1.18","29.46","0.05",,,"0","0","10.28","43.85","1.96457","41.870000000000005",,"-24.28","2.79","1.3799999999999928","-54.92","0.11","37.11","1.76","16.69",,"7.509999999999996","16.8",
Explicit Finance Ltd,EXPLICITFIN,"Investment Banking & Brokerage","4.0406736","0","0.34","0.62","0.33","0.33","0","0","7.89","0.020000000000000212","0","7.91","0","0.01","0.03","0","9.27","0.71",,,"0","0","2.25","0.03","0.92676","0",,"7.89","1.49","-0.009999999999999787","-1.38","0","0","0.05","0","5.66","-0.009999999999999787","5.66",
Multipurpose Trading and Agencies Ltd,ZMULTIPU,"Specialized Finance","4.03425","0","0.06","-0.019999999999999997","-0.17","-0.17","-0.3","0","4.41","0.16000000000000023","0","4.57","0.07","0.53","0","0","4.95","0.06",,,"0","0","0.11","0.1","0.495","0.07",,"4.41","0","-0.009999999999999787","-0.54","1.47","0.1","0.05","0","2.99","0.06000000000000022","4.46",
Konndor Industries Ltd,KONNDOR,,"4.0227678","0","0.47","-0.13000000000000003","0.47","0.49","0","0.02","8.27","0.36000000000000154","0.64","8.63","0","-0.02","0","0","5.5","0.48",,"0.34","0","0","8.120000000000001","0.19","0.55182","0",,"8.27","0","0.17000000000000157","2.77","0.05","0.19","7","0.12",,"0.17000000000000157","0.51",
Spice Island Apparels Ltd,SPICEISL,,"3.9861","0","-0.2899999999999999","1.62","0.64","0.76","-1.2","0.12","-0.5200000000000005","4.040000000000001","0.77","3.5200000000000005","0.14","0.15","0.25","3.49","4.3","0.15",,"0.67","0","0","1.53","3.87","0.43","0.87",,"-0.5200000000000005","0.02","0.030000000000001102","-8.31","0.48","3.62","0.59","0.8400000000000001",,"0.17000000000000112","1.9900000000000002",
Mathew Easow Research Securities Ltd,MATHEWE,,"3.98335","0","-0.020000000000000018","-4.2299999999999995","-2.52","-2.52","1.39","0","13.990000000000004","34.44","0","48.43","34.22","1.11","0.02","3.65","6.65","0.08",,"0.1","0","0","12.75","0.21","0.665","34.22",,"13.99","12.03","0.00999999999999801","3.69","0","0.19","0.64","0.14","35.44","34.23","35.68",
Classic Filaments Ltd,CFL,,"3.9736775","0","1.01","1.11","1.01","1.01","0","0","5.980000000000001","1.6799999999999997","1.83","7.66","0","0","1.49","1.76","6.11","1.05",,,"0.57","0","2.92","1.67","0.611335","0.17",,"5.98","0","0.009999999999999787","-1.8900000000000001","4.17","0.17999999999999994","0.04","0",,"0.009999999999999787","4.74",
Shricon Industries Ltd,SHRICON,"Real Estate","3.937","0","-2.220446049250313e-16","0.01","-0.11","-0.11","-1.83","0","2.25","3.869999999999999","0.04","6.119999999999999","3.77","1.94","0","0","1.24","0.02",,,"0.3","0","0.06","0.1","0.124","3.77",,"2.25","0","-8.881784197001252e-16","1.01","0","0.1","0","5.76",,"3.769999999999999","6.06",
Adishakti Loha & Ispat Ltd,ADISHAKTI,,"3.91988","0","-0.6000000000000001","-2.66","-3.03","-3.02","2","0.01","5.01","0.3599999999999993","0.95","5.369999999999999","0","0.42","0.34","0.45","4.56","0.05",,"0.03","0","0","5.31","0.36","0.4558","0",,"5.01","0.17","-6.74807432154978e-16","0","0","0.019999999999999962","4.14","0.03",,"-6.74807432154978e-16","0.06",
CKP Leisure Ltd,CKPLEISURE,"Hotels, Resorts & Cruise Lines","3.901932","0","-0.29999999999999993","-0.8499999999999999","-6.24","-6.24","0.16","0","14.479999999999999","0.2700000000000018","0","14.75","0","5.78","0","7.09","9.63","2.56",,,"0","0","5.050000000000001","0.27","0.96344","0.2",,"14.479999999999999","0","1.7763568394002505e-15","-2.24","5.06","0.27","2.49","4.64",,"1.7763568394002505e-15","9.7",
Nippon India ETF Shariah BeES,SHARIABEES,"Equity","3.899409808",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hindustan Bio Sciences Ltd,HINDBIO,"Biotechnology","3.895304","0","0","-0.04999999999999997","-0.34","-0.34","0.34","0","0.7899999999999991","2.200000000000001","0.14","2.99","1.0799999999999998","0","0","0","10.25","0.01",,"0.01","0","0","0.55","1.12","1.02508","2.17",,"0.7899999999999991","0","8.881784197001252e-16","-9.46","2.39","1.12","0.39999999999999997","0.040000000000000036",,"1.0800000000000007","2.44",
Krishna Filament Industries Ltd,KRIFILIND,,"3.8853637","0","-0.01","0.01","-0.01","-0.01","0","0","-2.8499999999999948","3.5399999999999947","0","0.6900000000000001","2.85","0","0","62.93","7.79","0",,,"0","0","0.01","0.68","0.77863","2.85",,"-2.8499999999999943","0","0.009999999999994319","-73.57","0.37","0.68","0.01","0.31000000000000005",,"2.8599999999999945","0.68",
Aadi Industries Ltd,AADIIND,"Stationery","3.88","0","-0.010000000000000009","-0.04","-0.38","-0.37","0.37","0.01","-6.420000000000002","6.980000000000002","0.26","0.56","0","-0.01","0.07","0","10","0.15",,,"0","0","0.54","6.9799999999999995","1","6.8999999999999995",,"-6.420000000000002","0","2.220446049250313e-15","-16.42","0","6.909999999999999","0.13","0.020000000000000004",,"2.220446049250313e-15","0.020000000000000004",
Raasi Refractories Ltd,RASSIREF,"Cement","3.8741977920000004","0","-0.010000000000000009","-3.0200000000000005","0.28","0.28","-0.39","0","-14.479999999999997","58.98","22.61","44.5","27.11","0.1","6.69","1.84","4.71","2.16","0.51",,"0","0","36.269999999999996","26.33","0.4713136","45.629999999999995",,"-14.48","8.27","5.03","-21.03","0","19.639999999999997","3.23","8.23",,"32.65","8.23",
Franklin Industries Ltd,FRANKLININD,"Investment Banking & Brokerage","3.871665","0","-0.16999999999999993","-0.7399999999999995","-0.7","-0.7","0.53","0","3.8800000000000003","7.47","5.59","11.35","0","0","7.38","0","3.62","0.02","0.02",,"0","0","8.91","7.430000000000001","0.3615","0",,"3.88","0","0.019999999999999574","0.26","2.02","0.05000000000000071","3.3","0.42000000000000004",,"0.03999999999999958","2.44",
Priya Ltd,PRIYALT,,"3.8699647","0.01","-0.010000000000000009","-0.3","-0.8","-0.8","0.79","0","-37.06999999999999","39.739999999999995","0","2.67","0","0","0.75","4.01","3","0.07",,,"0.32","0","0.6599999999999999","38.68","0.30023","24.43",,"-37.07","0","1.0599999999999983","-44.08","0.34","37.93","0.59","1.3499999999999999",,"1.0599999999999983","2.01",
Sunraj Diamond Exports Ltd,SUNRAJDI,"Precious Metals, Jewellery & Watches","3.8485488","0","0.1599999999999997","-2.69","-2.7","-2.66","2.35","0.04","0.75","17.330000000000002","11.4","18.080000000000002","-0.009999999999998864","0.47","0.25","0","5.33","0.31",,"0.04","0","0","17.94","17.339999999999996","0.53304","17",,"0.75","5.97","3.552713678800501e-15","-4.58","0.02","17.089999999999996","0.26","0.08000000000000007",,"-0.009999999999995311","0.14000000000000007","0"
Hanman Fit Ltd,HANMAN,"Wellness Services","3.8325","0","-0.07","-0.16","-0.39","-0.39","0.07","0","1.9700000000000024","2.8799999999999972","0","4.85","1.24","0.25","1.06","4.8","10.5","0.01",,,"0.31","0","1.9100000000000001","1.65","1.05","1.24",,"1.9700000000000024","0.09","-0.010000000000002451","-13.329999999999998","0","0.5899999999999999","1.81","2.63",,"1.2299999999999975","2.94",
Vision Corporation Ltd,VISIONCO,"Movies & TV Serials","3.794319","0","-0.3600000000000003","5.35","5.4399999999999995","5.47","0","0.03","22.97","7.8199999999999985","2.05","30.79","0","-5.83","2.56","1.96","19.97","0.05",,,"0","0","9.93","7.8100000000000005","1.99701","0.35",,"22.97","7.02","0.00999999999999801","1.04","18.96","5.25","0.81","1.8999999999999995",,"0.00999999999999801","20.86",
Jagsonpal Finance and Leasing Ltd,JAGSONFI,"Investment Banking & Brokerage","3.7842752","0","-0.01","0.039999999999999994","-0.01","-0.01","0","0","0.6699999999999999","0.30999999999999994","0.06","0.9799999999999999","0","0","0.03","0","5.5","0.01",,,"0","0","0.8499999999999999","0.30000000000000004","0.55004","0",,"0.6699999999999999","0.69","0.009999999999999898","-4.83","0","0.27","0.09","0","0.13","0.009999999999999898","0.13",
Shangar Decor Ltd,SHANGAR,"Home Furnishing","3.7578028","0","0.20999999999999996","-1.54","-2.27","-0.42","2.48","1.85","6.419999999999998","13.880000000000003","6.19","20.3","6.48","-1.85","7.08","0","6.12","0.26","0.15",,"0.02","0","11.030000000000001","7.239999999999999","1.22404","6.48",,"6.42","3.17","0.010000000000001563","0.3","0","0.15999999999999925","1.41","9.25",,"6.640000000000002","9.27",
Padam Cotton Yarns Ltd,PADAMCO,"Textiles","3.752937","0","0","0.15000000000000002","0","0","0","0","2.6500000000000004","4.409999999999999","1.33","7.06","0","0","0","0","3.87","0",,"0.39","0","0","1.37","0.01","0.3873","0",,"2.6500000000000004","0","4.3999999999999995","-1.22","5.3","0.01","0.03999999999999998","0",,"4.3999999999999995","5.6899999999999995",
Suryo Foods and Industries Ltd,SURFI,"Packaged Foods & Meats","3.74616","0","0","0.2","0","0.07","0","0.07","-3.7199999999999998","7.210000000000001","0.02","3.490000000000001","0","-0.07","0","3.56","3.96","0.03",,"0.09","0","0","0.36999999999999994","2.56","0.396","0",,"-3.7200000000000006","0","4.650000000000001","-11.24","0","2.56","0.31999999999999995","3.030000000000001",,"4.650000000000001","3.120000000000001",
Uniworth Ltd,UNIWORTH,"Textiles","3.7384867300000004","0","-0.03","3.58","-0.04","-0.04","0","0","-1159.52","1913.4200000000003","568.2","753.9000000000002","0","0.01","297.92","40.6","39.99","2.2",,,"29.97","0","703.9600000000002","1804.08","3.3986243","611.3",,"-1159.52","2.83","109.34000000000034","-1240.11","6.09","1506.1599999999999","130.73","13.880000000000008",,"109.34000000000034","49.94000000000001",
Negotium International Trade Ltd,NEGOTIUM,"Commodities Trading","3.7261375","0","0","0.96","0.97","0.97","-1.66","0","3.3099999999999987","9.89","0.94","13.2","6.25","0.69","3.61","0","3.92","0.01",,,"8.86","0","4.33","3.63","3.92225","6.25",,"3.31","0","0.009999999999999787","-0.61","0","0.020000000000000018","3.38","0.009999999999999995",,"6.26","8.87",
Vintage Securities Ltd,VINTAGES,"Consumer Finance","3.721802","0","-0.020000000000000004","0.04","0.02","0.02","-0.07","0","7.8900000000000015","0.9699999999999964","0","8.859999999999998","0","0.03","0","0","3.78","0.01","0.9399999999999997",,"8.79","0","0.03000000000000002","0.03000000000000025","0.36668","0",,"7.890000000000001","0","-3.552713678800501e-15","4.11","0","0.03000000000000025","0.020000000000000018","0.04","0","0.9399999999999962","8.829999999999998",
Ind Agiv Commerce Ltd,INDAGIV,"Technology Hardware","3.705","0","-0.33999999999999986","-4.24","-8.51","-8.07","0","0.44","3.8900000000000006","13.16","3.16","17.05","0.5700000000000001","7.73","1.1","0.7","3.65","2.42","0.19",,"0.3","0","16.11","6.449999999999999","0.1","3.0700000000000003",,"3.8899999999999997","9.4","5.95","-0.45999999999999996","0.57","5.35","1.13","0.06999999999999995",,"6.71","0.94","0"
Taparia Tools Ltd,TAPARIA,"Industrial Machinery","3.6854005","0","-13.930000000000003","-53.75999999999999","31.709999999999997","34.12","-0.73","2.41","237.77","79.09","61.16","316.86","0.02999999999999997","-47.32","55.81","0.5","3.04","42.79","0.42",,"0","0","294.3","75.97","0.303575","0.36",,"237.76999999999998","175.5","2.6700000000000093","234.23","3.47","20.159999999999997","14.85","19.09",,"3.120000000000009","22.56",
Inceptum Enterprises Ltd,INCEPTUM,"0","3.6714802","0","-0.01","0.03","-0.01","-0.01","0","0","1.4100000000000001","3.2199999999999998","2","4.63","0","0","2.18","0","4.11","0.02",,,"0","0","4.52","3.21","0.41114","0.89",,"1.4100000000000001","0","0.009999999999999787","-2.7","0.11","1.0299999999999998","2.5","0",,"0.009999999999999787","0.11",
